2017-03-17,4889,-17.958196861237433
2017-03-18,2742,-1599.0169799738458
2017-03-19,6039,-389.17421779848775
2017-03-20,2981,999.1097324638109
2017-03-21,2109,685.5668481818109
2017-03-22,1652,899.6751889484595
2017-03-23,2062,-68.07812648337136
2017-03-24,3696,61.59732891528486
2017-03-25,2394,3021.662706892804
2017-03-26,1575,3387.8524393244606
2017-03-27,2520,2536.9992491586254
2017-03-28,2092,5718.911366310581
2017-03-29,2560,2300.2603374552195
2017-03-30,0,0
2017-03-31,5634,934.0261744497938
2017-04-01,4242,294.10180538132477
2017-04-02,1620,272.04650919440195
2017-04-03,3082,2283.2605744403513
2017-04-04,3147,6404.240540416253
2017-04-05,1755,2230.7465278698123
2017-04-06,2745,1456.826188912995
2017-04-07,1407,2364.930257981889
2017-04-08,1997,280.92818394992236
2017-04-09,1859,816.4006957222198
2017-04-10,1994,1467.4939930190033
2017-04-11,2152,2048.912707415113
2017-04-12,2472,562.1207370128702
2017-04-13,2282,2219.762314267738
2017-04-14,1461,388.7019919232086
2017-04-15,0,0
2017-04-16,0,0
2017-04-17,760,314.3898540144749
2017-04-18,1671,517.5510378339633
2017-04-19,5327,502.87774589975
2017-04-20,5433,1480.2166371308745
2017-04-21,1931,310.445453549312
2017-04-22,1618,109.12170488281122
2017-04-23,1135,270.3806408327227
2017-04-24,2095,3717.405855817379
2017-04-25,2078,2350.025490698807
2017-04-26,0,0
