2017-03-17,4889,4660.962537471886
2017-03-18,2742,532.3039799416481
2017-03-19,6039,290.4094598443449
2017-03-20,2981,3614.1874152297933
2017-03-21,2109,2427.7709213845433
2017-03-22,1652,510.1676026029058
2017-03-23,2062,-41.37313773035872
2017-03-24,3696,1982.130297754334
2017-03-25,2394,4412.952662364247
2017-03-26,1575,4311.807838158724
2017-03-27,2520,12696.257681626987
2017-03-28,2092,9908.663628824086
2017-03-29,2560,4695.1792411328115
2017-03-30,0,0
2017-03-31,5634,700.9422179091237
2017-04-01,4242,471.8941878830733
2017-04-02,1620,498.8016530864193
2017-04-03,3082,9963.271689065543
2017-04-04,3147,4876.632568732121
2017-04-05,1755,2179.0749716809137
2017-04-06,2745,837.0266461566472
2017-04-07,1407,2672.9766111584886
2017-04-08,1997,471.24658037055616
2017-04-09,1859,709.6883841312542
2017-04-10,1994,2442.1580889668994
2017-04-11,2152,656.7470684479553
2017-04-12,2472,4783.825704126212
2017-04-13,2282,4267.822820683606
2017-04-14,1461,334.97398521560547
2017-04-15,0,0
2017-04-16,0,0
2017-04-17,760,695.2336759210526
2017-04-18,1671,-2929.6346904248917
2017-04-19,5327,4859.7042195795075
2017-04-20,5433,2530.135967218848
2017-04-21,1931,342.2782014500257
2017-04-22,1618,206.8244481458588
2017-04-23,1135,98.99802669603528
2017-04-24,2095,1124.7575321718352
2017-04-25,2078,2513.2599822425423
2017-04-26,0,0
