Date,textblob1,textblob_follow1,textblob_impact1,twinword1,vader1,vader2,vader3,vader4,vader5,vader_follow1,vader_impact1
2017-03-17,-0.04777362633238051,-17.958196861237433,34.730245302066606,0.18554551600000002,4889,0.16517214154223886,0.07755962364491778,0.013737983227653863,0.9087128247085288,4660.962537471886,100.15328952751136
2017-03-18,0.18636922386090216,-1599.0169799738458,296.6748194237163,0.190906181,2742,0.2298436907366905,0.09835485047410612,0.015218818380743994,0.8864296134208696,532.3039799416481,303.0839647702425
2017-03-19,0.1028513952189946,-389.1742177984878,60.647927159826935,0.11276676699999999,6039,0.1707106971352852,0.08275707898658312,0.013252359662195646,0.9039912237125204,290.40945984434484,173.40243210796586
2017-03-20,0.10830601469458333,999.1097324638107,47.275934767236535,0.13172187,2981,0.174460483059379,0.08743005702784326,0.013456558201945657,0.8991137202281092,3614.1874152297933,112.88744223414896
2017-03-21,0.10587728914099513,685.5668481818109,11.30027332414559,0.133489504,2109,0.12606367946894298,0.06955808440018968,0.017881460407776214,0.9125609293504042,2427.7709213845433,32.607487482219035
2017-03-22,0.1130493037048541,899.6751889484594,12.237375952028634,0.146812483,1652,0.10531549636803904,0.0621029055690072,0.014552663438256657,0.9233420096852292,510.1676026029058,46.26368855932209
2017-03-23,0.06268004087687645,-68.07812648337136,16.659947873293177,0.052851592,2062,0.048247138700291015,0.04248981571290005,0.018320562560620757,0.9391920465567414,-41.37313773035872,17.642129388942756
2017-03-24,0.0334170185662099,61.59732891528486,32.258026411379234,0.255527599,3696,0.4086160173160101,0.14167992424241907,0.007498106060606061,0.8508222402597285,1982.1302977543342,1823.122911201264
2017-03-25,0.04862789975564608,3021.662706892804,37.986009455423975,0.158600452,2394,0.2479176274018372,0.09238471177944932,0.006815789473684212,0.9007999164578058,4412.952662364247,652.5860228487946
2017-03-26,0.08771201100670357,3387.852439324461,-45.86103610929763,0.17845447600000003,1575,0.2082768888888896,0.1072107936507938,0.016114920634920645,0.8766723809523801,4311.807838158724,353.36411403174685
