4889,0.165172142,0.077559624,0.013737983,0.908712825,-0.047773626,1785,100.1532895,4660.962537,0.185545516,907.1320288,-6
2742,0.229843691,0.09835485,0.015218818,0.886429613,0.186369224,1785,303.0839648,532.3039799,0.190906181,523.464747,0
6039,0.170710697,0.082757079,0.01325236,0.903991224,0.102851395,1785,173.4024321,290.4094598,0.112766767,680.9985064,0
2981,0.174460483,0.087430057,0.013456558,0.89911372,0.108306015,1785,112.8874422,3614.187415,0.13172187,392.6628945,0
2109,0.126063679,0.069558084,0.01788146,0.912560929,0.105877289,1757,32.60748748,2427.770921,0.133489504,281.5293634,-28
1652,0.105315496,0.062102906,0.014552663,0.92334201,0.113049304,1748,46.26368856,510.1676026,0.146812483,242.5342221,-9
2062,0.048247139,0.042489816,0.018320563,0.939192047,0.062680041,1768,17.64212939,-41.37313773,0.052851592,108.9799834,20
3696,0.408616017,0.141679924,0.007498106,0.85082224,0.033417019,1762,1823.122911,1982.130298,0.255527599,944.4300041,-6
2394,0.247917627,0.092384712,0.006815789,0.900799916,0.0486279,1754,652.5860228,4412.952662,0.158600452,379.6894812,-8
1575,0.208276889,0.107210794,0.016114921,0.876672381,0.087712011,1746,353.364114,4311.807838,0.178454476,281.0657996,-8
2520,0.19146004,0.090434524,0.014306746,0.895256746,0.069657986,1738,616.2370633,12696.25768,0.19602303,493.9780342,-8
2092,0.174121176,0.08623805,0.014779637,0.898984226,0.08079177,1735,131.3544778,9908.663629,0.1531425,320.3741091,-3
2560,0.1553375,0.070589844,0.011542578,0.917867578,0.046664658,1745,124.8205853,4695.179241,0.188146602,481.6553007,10
5634,0.340634168,0.1159235,0.003462904,0.880613596,0.183540904,1724,1384.696884,700.9422179,0.172811145,973.6179911,-16
4242,0.262013036,0.08681636,0.005230552,0.907953324,0.00404815,1728.333333,693.2741455,471.8941879,0.091711555,389.0404144,4.33333
1620,0.175101975,0.074433951,0.012802469,0.912765432,0.053370735,1732.666667,259.964165,498.8016531,0.118448386,191.8863859,4.33333
3082,0.235907917,0.125860156,0.018817651,0.855321544,0.091512965,1737,111.591738,9963.271689,0.189077201,582.7359332,4.33333
3147,0.076682968,0.057257388,0.021271052,0.921473785,0.080539044,1746,-23.2189313,4876.632569,0.085953216,270.49477,9
1755,0.07881584,0.057977778,0.019790883,0.922230199,0.098178153,1734,6.309105812,2179.074972,0.127778888,224.2519475,-12
2745,0.119414463,0.057346812,0.006910383,0.935745355,0.086000325,1727,15.70653191,837.0266462,0.305009432,837.25089,-7
,,,,,,1773,,,,,46
,,,,,,1769,,,,,-4
,,,,,,1765,,,,,-4
,,,,,,1761,,,,,-4
