837,0.185899642,0.142056153,0.046191159,0.811749104,0.172848221,63.939999,3071.764162,57882.96826,0.114884667,96.158466
825,0.185795636,0.130952727,0.028113939,0.840934545,0.118296336,63.84,4981.763957,41600.11193,0.129039415,106.4575176
922,0.205454121,0.137194143,0.022041215,0.840762473,0.139104853,64.040001,23.13145705,69839.8902,0.1453003,133.9668766
1170,0.244524872,0.152117949,0.026775214,0.821108547,0.154072008,63.9566667,9251.147725,49637.98369,0.117876419,137.9154107
925,0.178914054,0.124901622,0.058104865,0.816987027,0.150129112,63.8733334,7576.863878,45646.16284,0.14694194,135.9212949
1830,-0.084924317,0.075487978,0.157348087,0.767162842,0.140600333,63.790001,-269.5843556,20421.94732,0.147469259,269.8687438
2178,-0.093949128,0.082192837,0.161568871,0.756235996,0.124049905,62.93,753.8223531,26474.82442,0.148176442,322.7282895
1282,0.009203042,0.078707488,0.104316693,0.816973479,0.105759807,62.82,14.23451693,37878.19189,0.124374866,159.4485787
1077,0.121439554,0.094611885,0.034492108,0.870898793,0.105153816,63.080002,5122.677983,30544.46468,0.101908175,109.7551042
1697,0.230518739,0.117926341,0.028501473,0.853571597,0.135968469,63.689999,162.6008707,36499.33869,0.174104855,295.4559392
1008,0.187146429,0.12684127,0.041497024,0.831668651,0.126777687,63.830001,7.624032937,48816.0869,0.151081319,152.2899691
948,0.154168671,0.110201477,0.037774262,0.85203481,0.106874174,63.970002,-376.3755592,24548.13037,0.129865336,123.1123386
1083,0.187980702,0.123239151,0.036026777,0.840735919,0.127954804,64.110001,421.2488151,40636.28455,0.125821169,136.2643262
1103,0.172442158,0.127734361,0.038034451,0.834229374,0.116510321,63.68,3.536223209,42990.97281,0.117113678,129.1763864
1895,0.072955092,0.113423219,0.07384591,0.812746174,-0.021832738,66.300003,-2.388035778,28250.28704,0.022469201,42.57913589
1472,0.11418587,0.100615489,0.044574049,0.854811141,0.075034971,51.869999,2.01761712,34644.2073,0.061907693,91.12812393
922,0.161859436,0.122341649,0.03785141,0.839809111,0.115768031,51.553333,-268.7983863,40586.59531,0.128852542,118.8020433
1096,0.157717883,0.124892336,0.049399635,0.825703467,0.10095415,51.236666,113.2756629,37095.11167,0.145911503,159.9190071
1069,0.103930496,0.099867166,0.052321796,0.847809167,0.086075326,50.919998,-7.925559682,34310.90743,0.089679964,95.86788115
1039,0.256147642,0.154004812,0.030046198,0.815947064,0.126923712,49.759998,0.352183927,48454.03187,0.158904107,165.101367
1038,0.128415125,0.124749518,0.047678227,0.827564547,0.09112562,49.43,2394.053088,28250.81453,0.18743322,194.5556819
990,0.21405,0.13980101,0.03429798,0.82590101,0.151346385,50.779999,38.02651525,37479.98237,0.166058187,164.3976049
,,,,,,50.630001,,,,
,,,,,,51.173332,,,,
,,,,,,51.716664,,,,
,,,,,,52.259998,,,,
